Gene Names,Gene Names (primary),Reviewed,Organism,Protein ID
PHB,PHB,unreviewed,Homo sapiens (Human),C9JW96
UBE4B,UBE4B,unreviewed,Homo sapiens (Human),K7ERA7
Zranb2;Zfp265;Zis;Znf265,Zranb2,reviewed,Rattus norvegicus (Rat),O35986
EPM2AIP1,EPM2AIP1,unreviewed,Homo sapiens (Human),A0A096LNL1
FAM83A;TSGP,FAM83A,reviewed,Homo sapiens (Human),Q86UY5
FXR1,FXR1,unreviewed,Homo sapiens (Human),C9JZE0
ITFG1,ITFG1,unreviewed,Homo sapiens (Human),H3BUJ1
QTRT1;TGT;TGUT,QTRT1,reviewed,Homo sapiens (Human),Q9BXR0
EXOSC2,EXOSC2,unreviewed,Homo sapiens (Human),A3KFL2
ADNP,ADNP,unreviewed,Homo sapiens (Human),A0A2R8YCL6
,,unreviewed,Homo sapiens (Human),H3BUX3
ALG9,ALG9,unreviewed,Homo sapiens (Human),H0YCW6
IGHV3-16,IGHV3-16,reviewed,Homo sapiens (Human),A0A0C4DH30
FAM171A2,FAM171A2,reviewed,Homo sapiens (Human),A8MVW0
SCO2,SCO2,reviewed,Homo sapiens (Human),O43819
DDR1,DDR1,unreviewed,Homo sapiens (Human),A0A0G2JIZ7
CALM3;CALML2;CAM3;CAMC;CAMIII,CALM3,reviewed,Homo sapiens (Human),P0DP25
PZP,PZP,unreviewed,Homo sapiens (Human),F5GXY0
Hnrnpa1;Hnrpa1,Hnrnpa1,unreviewed,Rattus norvegicus (Rat),Q6P6G9
KEL,KEL,reviewed,Homo sapiens (Human),P23276
PDE6D;PDED,PDE6D,reviewed,Homo sapiens (Human),O43924
TANK,TANK,unreviewed,Homo sapiens (Human),H7C3L4
SPTAN1,SPTAN1,unreviewed,Homo sapiens (Human),A0A0D9SF54
CLUH,CLUH,unreviewed,Homo sapiens (Human),I3L318
LAMB1,LAMB1,unreviewed,Homo sapiens (Human),E9PCS6
SH3BGRL3;P1725,SH3BGRL3,reviewed,Homo sapiens (Human),Q9H299
PSMC2;MSS1,PSMC2,reviewed,Homo sapiens (Human),P35998
PYM1;PYM;WIBG,PYM1,reviewed,Homo sapiens (Human),Q9BRP8
